Numero	Nimi	Valmistaja	Pullokoko	Hinta	Litrahinta	Uutuus	Hinnastojärjestyskoodi	Tyyppi	Alatyyppi	Erityisryhmä	Oluttyyppi	Valmistusmaa	Alue	Ala-alue	Vuosikerta	Etikettimerkintöjä	Huomautus	Rypäleet	Luonnehdinta	Pakkaustyyppi	Suljentatyyppi	Alkoholi	Hapot g/l	Sokeri g/l	Kantavierrep	Väri EBC	Katkerot EBU	Energia kcal/100 ml	Valikoima
160427	Davidoff XO 		0,70	180,90	258,43		432	konjakit								Zino Davidoff, AC Cognac			Kuparinruskea, täyteläinen, iäkäs, lämmin, kypsän hedelmäinen, kevyen pähkinäinen, hennon yrttinen, setrinen, runsas, tasapainoinen, pitkä	pullo	muovisuljin	40,00		8				230	erikoisvalikoima
000911	De Luze V.S 		0,70	29,80	42,43		432	konjakit								Cognac de Luze			Vaaleanruskea, kevyt, nuorehko, lämmin, kypsän aprikoosinen, kaakaoinen, mausteinen	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
164266	Delamain Vesper XO 		0,50	62,50	124,80		432	konjakit								Delamain, Grande Champagne			Kastanjanruskea, täyteläinen, iäkäs, lämmin, kypsän hedelmäinen, kaakaoinen, hennon yrttinen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
001081	Delfin V.S. 		0,70	31,80	45,29		432	konjakit								Frapin, AC Fine Champagne			Meripihkanruskea, keskitäyteläinen, nuorehko, lämmin, makean hedelmäinen, kevyen tamminen	pullo	metallinen kierrekapseli	40,00		12				230	vakiovalikoima
001082	Delfin V.S. Fine Champagne 		0,35	18,60	52,86		432	konjakit								Frapin, AC Fine Champagne			Meripihkanruskea, keskitäyteläinen, nuorehko, lämmin, makean hedelmäinen, kevyen tamminen	pullo	metallinen kierrekapseli	40,00		12				230	vakiovalikoima
000971	Delpech Fougerat X.O. 		0,70	57,00	81,43		432	konjakit								Delpech Fougerat, AC Cognac			Kuparinruskea, keskitäyteläinen, melko iäkäs, terävä, hedelmäinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
110274	Dupuy V.S.O.P 		0,35	24,90	70,86		432	konjakit								Dupuy			Kullankeltainen, keskitäyteläinen, melko iäkäs, lämmin, makean hedelmäinen, puinen	pullo	muovisuljin	40,00		12				230	vakiovalikoima
154086	Dupuy VS  muovipullo		0,50	24,80	49,20		432	konjakit								Dupuy			Kuparinruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, hennon suklainen	muovipullo	metallinen kierrekapseli	40,00		16				230	vakiovalikoima
001027	Dupuy VSOP 		0,70	39,80	56,71		432	konjakit								Cognac Dupuy, AC Cognac			Kullankeltainen, keskitäyteläinen, melko iäkäs, lämmin, makean hedelmäinen, puinen	pullo	muovisuljin	40,00		12				230	vakiovalikoima
000833	Emeritus Apteekkarin Cognac XO 		0,50	39,90	79,60		432	konjakit								Peyrat, AC Cognac			Kuparinruskea, täyteläinen, melko iäkäs, terävä, kypsän aprikoosinen, mausteinen, tamminen	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
000861	Frapin Château Fontpinot XO 		0,70	90,10	128,57		432	konjakit								Frapin, AC Grande Champagne			Meripihkanruskea, täyteläinen, iäkäs, terävä, kypsän aprikoosinen, luumuinen, tummasuklainen, mineraalinen, tasapainoinen, pitkä	pullo	luonnonkorkki	41,00		10				230	vakiovalikoima
128866	Frapin V.S.  muovipullo		0,50	29,50	58,60	uutuus	432	konjakit								Frapin, AC Grande Champagne			Kuparinruskea, keskitäyteläinen, nuorehko, lämmin, hedelmäinen, kevyen karamellinen, hennon yrttinen	muovipullo	metallinen kierrekapseli	40,00		12				230	vakiovalikoima
000781	Gautier VS 		0,70	33,90	48,29		432	konjakit								Gautier			Meripihkankeltainen, keskitäyteläinen, nuorehko, pehmeä, hedelmäinen, hennon toffeinen, kevyen tamminen	pullo	luonnonkorkki	40,00		11				230	vakiovalikoima
107207	Gautier X.O. Gold & Blue 		0,70	83,90	119,86		432	konjakit								Gautier, AC Cognac			Meripihkanruskea, iäkäs, täyteläinen, lämmin, kypsän hedelmäinen, aprikoosinen, kevyen suklainen, yrttinen, tamminen, vivahteikas, pitkä	pullo	luonnonkorkki	40,00		12				230	vakiovalikoima
000831	Grönstedts VS 		0,70	29,50	42,00		432	konjakit								Altia,  			Meripihkanruskea, kevyt, nuorehko, lämmin, hennon omenainen, kevyen aprikoosinen, tamminen	pullo	metallinen kierrekapseli	40,00		4				230	vakiovalikoima
000891	Hennessy V.S.O.P 		0,70	57,50	82,00		432	konjakit								Hennessy			Kuparinruskea, täyteläinen, melko iäkäs, lämmin, hedelmäinen, kaakaoinen, mausteinen	pullo	luonnonkorkki	40,00		3				230	vakiovalikoima
000892	Hennessy V.S.O.P  		0,35	30,70	87,43		432	konjakit								Hennessy			Kuparinruskea, täyteläinen, melko iäkäs, lämmin, hedelmäinen, kaakaoinen, mausteinen	pullo	luonnonkorkki	40,00		3				230	vakiovalikoima
